Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
22-October-2020,16000.00,16074.10,15773.15,15911.25,15889.324956885932495688,4059,1633,64494770.00,1354,33.36,300.95,-88.75
21-October-2020,16230.00,16300.00,15955.50,16015.70,16129.236489151873767258,5070,2568,81775229.00,1257,24.79,344.50,-214.30
20-October-2020,16000.00,16421.60,15880.00,16252.65,16224.370271642548870271,7878,2834,127815589.00,1993,25.30,541.60,252.65
19-October-2020,15588.00,16160.00,15435.00,16089.65,15909.104198184568835098,5288,3234,84127343.00,2999,56.71,725.00,501.65
16-October-2020,15699.00,15807.50,15389.90,15434.20,15484.619406106231702216,2391,1298,37023725.00,792,33.12,417.60,-264.80
15-October-2020,15820.00,15820.00,15563.65,15592.80,15651.298302011210023079,12132,795,189881551.00,11029,90.91,256.35,-227.20
14-October-2020,15673.00,15819.30,15551.65,15669.40,15688.780417566594672426,1389,759,21791716.00,448,32.25,267.65,-3.60
13-October-2020,15900.00,15983.35,15655.15,15671.55,15808.939116379310344827,1856,903,29341391.00,854,46.01,328.20,-228.45
12-October-2020,16145.00,16145.00,15861.75,15900.60,15945.534050179211469534,1953,1069,31141628.00,823,42.14,283.25,-244.40
9-October-2020,16380.00,16380.00,15998.05,16045.00,16080.283156498673740053,3016,1483,48498134.00,973,32.26,381.95,-335.00
8-October-2020,16133.00,16320.20,16072.75,16300.90,16198.429160226687274600,1941,869,31441151.00,892,45.96,247.45,167.90
7-October-2020,15900.00,16132.50,15876.85,16111.80,16036.189897455374097987,2633,1082,42223288.00,715,27.16,255.65,211.80
6-October-2020,16100.00,16130.00,15840.00,15874.95,15976.543512658227848101,2528,1283,40388702.00,724,28.64,290.00,-225.05
5-October-2020,16100.00,16141.45,15824.95,16039.60,16038.695898161244695898,1414,720,22678716.00,327,23.13,316.50,-60.40
1-October-2020,16000.00,16043.25,15796.35,15998.45,15966.869438129262747645,3079,1456,49161991.00,1030,33.45,246.90,-1.55
30-September-2020,15690.00,16022.80,15620.00,15924.70,15689.194937924411825228,14579,2302,228732773.00,12459,85.46,402.80,234.70
29-September-2020,15800.00,15845.00,15577.85,15625.40,15687.579787234042553191,2820,1455,44238975.00,806,28.58,267.15,-174.60
28-September-2020,16619.00,16619.00,15625.00,15721.35,15816.422746781115879828,1398,801,22111359.00,475,33.98,994.00,-897.65
25-September-2020,15300.00,15828.05,15300.00,15734.25,15660.542134160897588923,12567,2246,196806033.00,8258,65.71,528.05,434.25
24-September-2020,15362.95,15454.65,15180.85,15257.85,15346.446952595936794582,2215,1188,33992380.00,679,30.65,273.80,-105.10
23-September-2020,15275.00,15400.00,15130.00,15362.95,15295.898518518518518518,5400,2387,82597852.00,1735,32.13,270.00,87.95
22-September-2020,15495.00,15514.80,15104.25,15203.25,15226.568655992236778262,4122,1520,62763916.00,1304,31.64,410.55,-291.75
21-September-2020,16100.00,16100.00,15156.40,15418.90,15568.984351988217967599,10864,5420,169141446.00,5675,52.24,943.60,-681.10
18-September-2020,16149.30,16248.00,15925.00,16098.90,16028.584857234520372152,3117,1710,49961099.00,1231,39.49,323.00,-50.40
17-September-2020,16240.00,16299.00,16098.55,16121.85,16209.541998773758430410,1631,733,26437763.00,447,27.41,200.45,-118.15
16-September-2020,16065.90,16221.20,16065.90,16196.30,16167.668589558696279203,3467,1155,56053307.00,965,27.83,155.30,130.40
15-September-2020,16199.95,16199.95,16000.00,16038.40,16074.414460285132382892,1964,967,31570150.00,683,34.78,199.95,-161.55
14-September-2020,16335.00,16344.55,16000.00,16066.35,16130.445076324453756360,3341,1337,53891817.00,1307,39.12,344.55,-268.65
11-September-2020,16370.00,16370.15,16195.00,16324.00,16300.180539273153575615,1706,748,27808108.00,366,21.45,175.15,-46.00
10-September-2020,16313.00,16440.00,16234.95,16412.80,16357.339341917024320457,3495,1781,57168901.00,2164,61.92,205.05,99.80
9-September-2020,16002.00,16340.00,16002.00,16313.20,16243.283462996209854378,5013,2573,81427580.00,2257,45.02,338.00,311.20
8-September-2020,16300.00,16353.80,16100.00,16135.45,16199.024024024024024024,2331,1105,37759925.00,947,40.63,253.80,-164.55
7-September-2020,16231.00,16510.00,15970.50,16402.50,16273.750179985601151907,2778,1291,45208478.00,621,22.35,539.50,171.50
4-September-2020,16279.55,16417.00,16144.70,16231.45,16271.303337558090409801,2367,1065,38514175.00,822,34.73,272.30,-48.10
3-September-2020,16002.00,16430.50,15923.25,16387.80,16248.699438537809102855,8371,4349,136017863.00,5118,61.14,507.25,385.80
2-September-2020,16234.00,16251.25,15974.05,15994.25,16100.070175438596491228,2622,1145,42214384.00,1674,63.84,277.20,-239.75
1-September-2020,15951.05,16254.20,15747.00,16191.10,15986.630534351145038167,2620,1412,41884972.00,849,32.40,507.20,240.05
31-August-2020,16157.00,16272.00,15880.00,15946.10,16085.125570197668525088,7892,4208,126943811.00,2794,35.40,392.00,-210.90
28-August-2020,16350.00,16365.70,16090.00,16104.45,16221.499479979199167966,3846,1553,62387887.00,1516,39.42,275.70,-245.55
27-August-2020,16190.00,16320.00,16095.00,16111.35,16146.065116279069767441,2580,1398,41656848.00,1349,52.29,225.00,-78.65
26-August-2020,16285.00,16348.95,16171.00,16189.05,16213.587843833185448092,6762,3436,109636281.00,4588,67.85,177.95,-95.95
25-August-2020,16482.05,16482.05,16266.75,16290.50,16326.389426321709786276,4445,2300,72570801.00,2245,50.51,215.30,-191.55
24-August-2020,16560.00,16699.00,16409.05,16535.50,16604.776453765490943755,2098,949,34836821.00,950,45.28,289.95,-24.50
21-August-2020,16235.80,16683.70,16235.80,16556.65,16503.797246423577498117,9297,4668,153435803.00,5940,63.89,447.90,320.85
20-August-2020,16348.50,16348.50,16191.10,16217.85,16246.573212018620397799,4726,2218,76781305.00,2918,61.74,157.40,-130.65
19-August-2020,16675.00,16675.00,16321.00,16348.50,16400.656136887133925633,3039,1485,49841594.00,1628,53.57,354.00,-326.50
18-August-2020,16430.00,16617.70,16320.20,16549.45,16447.969390103567318757,4345,1992,71466427.00,1316,30.29,297.50,119.45
17-August-2020,16356.00,16521.00,16316.10,16427.35,16430.203914428766499772,2197,1087,36097158.00,825,37.55,204.90,71.35
14-August-2020,16478.10,16540.00,16315.00,16355.85,16420.771662763466042154,3416,1668,56093356.00,1493,43.71,225.00,-122.25
13-August-2020,16538.70,16650.00,16462.00,16478.10,16536.359906213364595545,1706,862,28211030.00,867,50.82,188.00,-60.60
12-August-2020,16620.00,16620.00,16455.00,16538.70,16520.866427432216905901,2508,1239,41434333.00,991,39.51,165.00,-81.30
11-August-2020,16667.05,16779.80,16584.15,16620.65,16700.562734082397003745,2136,1148,35672402.00,770,36.05,195.65,-46.40
10-August-2020,16900.00,16900.00,16643.25,16667.05,16743.919802590993214065,1621,810,27141894.00,631,38.93,256.75,-232.95
7-August-2020,16757.00,16893.20,16554.60,16761.45,16746.566241021548284118,2506,1050,41966895.00,602,24.02,338.60,4.45
6-August-2020,16501.10,16700.00,16474.75,16671.25,16572.569371099375900144,2083,901,34520662.00,794,38.12,225.25,170.15
5-August-2020,16545.00,16625.00,16460.00,16496.10,16519.414403915627549236,8581,1398,141753095.00,6510,75.87,165.00,-48.90
4-August-2020,16575.20,16640.00,16411.25,16582.65,16515.925868325557283566,1929,876,31859221.00,586,30.38,228.75,7.45
3-August-2020,16530.00,16604.05,16346.65,16517.50,16469.963673285198555956,4432,1854,72994879.00,1509,34.05,257.40,-12.50
31-July-2020,16450.50,16666.10,16433.30,16526.45,16507.708333333333333333,9384,2084,154908335.00,6558,69.88,232.80,75.95
30-July-2020,16799.00,16799.00,16445.60,16531.60,16602.327307692307692307,5200,2297,86332102.00,1860,35.77,353.40,-267.40
29-July-2020,17099.00,17188.95,16511.10,16581.90,16739.526666222784473000,15019,6639,251410951.00,5277,35.14,677.85,-517.10
28-July-2020,17375.60,17447.35,17025.00,17098.95,17221.443028889287636820,5573,2274,95975102.00,1474,26.45,422.35,-276.65
27-July-2020,17269.00,17400.00,17220.95,17343.90,17320.742541436464088397,2715,1183,47025816.00,606,22.32,179.05,74.90
24-July-2020,17257.00,17400.00,16975.00,17231.40,17144.697559975394709862,4877,2198,83614690.00,1023,20.98,425.00,-25.60
23-July-2020,17082.00,17290.75,17053.55,17260.10,17166.588832487309644670,3546,1366,60872724.00,837,23.60,237.20,178.10
22-July-2020,17420.00,17431.05,17000.80,17146.45,17194.444990698910443794,7526,2707,129405393.00,3716,49.38,430.25,-273.55
21-July-2020,17477.00,17500.00,17230.00,17284.05,17339.309461805555555555,4608,1806,79899538.00,1031,22.37,270.00,-192.95
20-July-2020,17400.00,17400.00,17072.25,17242.20,17216.952577319587628865,5335,2365,91852442.00,1322,24.78,327.75,-157.80
17-July-2020,17470.00,17620.15,17179.45,17233.35,17334.827377739393285112,9263,3178,160572506.00,2717,29.33,440.70,-236.65
16-July-2020,16907.00,17733.90,16766.00,17464.20,17160.106634575136040184,9556,2793,163981979.00,4770,49.92,967.90,557.20
15-July-2020,16999.95,17020.00,16750.00,16904.95,16880.885938769981034949,3691,1581,62307350.00,1077,29.18,270.00,-95.00
14-July-2020,16995.95,17105.85,16850.00,16896.65,16981.841828188561856903,4179,1967,70967117.00,1410,33.74,255.85,-99.30
13-July-2020,16830.00,17090.00,16830.00,16967.50,16978.756245686680469289,7245,3089,123011089.00,2740,37.82,260.00,137.50
10-July-2020,16755.60,16871.55,16636.60,16837.80,16765.210144927536231884,1518,810,25449589.00,514,33.86,234.95,82.20
9-July-2020,16879.15,16960.70,16700.00,16758.65,16771.263109475620975160,3261,1444,54691089.00,1238,37.96,260.70,-120.50
8-July-2020,17000.00,17148.75,16736.75,16798.90,16947.069926393270241850,3804,1900,64466654.00,966,25.39,412.00,-201.10
7-July-2020,16800.80,16949.65,16723.60,16891.45,16861.679603960396039603,2525,1032,42575741.00,850,33.66,226.05,90.65
6-July-2020,16689.00,16840.85,16689.00,16800.80,16771.076502732240437158,2379,1057,39898391.00,829,34.85,151.85,111.80
3-July-2020,16925.00,16979.00,16650.65,16690.30,16712.541905712147667747,8018,1846,134001161.00,5573,69.51,328.35,-234.70
2-July-2020,16945.00,16945.00,16670.30,16782.05,16818.703285761699303020,3013,1192,50674753.00,903,29.97,274.70,-162.95
1-July-2020,17160.00,17179.00,16721.60,16795.00,16846.304517663043478260,5888,2558,99191041.00,2045,34.73,457.40,-365.00
30-June-2020,16810.00,17297.70,16800.00,17178.00,17103.712851800826608935,5081,2053,86903965.00,1726,33.97,497.70,368.00
29-June-2020,16696.00,16975.00,16575.50,16720.70,16779.408643018018018018,7104,1312,119200919.00,818,11.51,399.50,24.70
26-June-2020,16820.00,16921.65,16641.35,16671.65,16697.794223455648062493,9729,2299,162452840.00,7662,78.75,280.30,-148.35
25-June-2020,16675.00,16848.70,16600.00,16777.90,16797.707341269841269841,13104,1138,220117157.00,11523,87.93,248.70,102.90
24-June-2020,16674.00,16850.00,16537.45,16706.95,16721.777612310747083643,4029,1982,67372042.00,1139,28.27,312.55,32.95
23-June-2020,16248.00,16720.35,16215.05,16545.15,16493.525021731031913572,8053,2689,132822357.00,4335,53.83,505.30,297.15
22-June-2020,16201.35,16256.60,16070.20,16128.35,16125.174695381127798243,7058,2577,113811483.00,5052,71.58,186.40,-73.00
19-June-2020,16182.10,16300.00,16060.00,16096.10,16135.681932245922208281,3188,1624,51440554.00,1568,49.18,240.00,-86.00
18-June-2020,16155.10,16291.55,16045.90,16183.75,16131.482953627403457747,6189,2188,99837748.00,2590,41.85,245.65,28.65
17-June-2020,16340.00,16426.40,16120.10,16201.05,16263.912500000000000000,3520,1088,57248972.00,1176,33.41,306.30,-138.95
16-June-2020,16500.00,16599.35,16262.70,16339.55,16399.859017496635262449,2972,1632,48740381.00,1055,35.50,336.65,-160.45
15-June-2020,16555.45,16624.45,16375.00,16404.75,16456.273166023166023166,2072,1325,34097398.00,949,45.80,249.45,-150.70
12-June-2020,16599.95,16710.00,16325.00,16486.40,16503.637249593936112615,11082,2980,182893308.00,7373,66.53,385.00,-113.55
11-June-2020,16589.00,16854.75,16550.00,16602.45,16692.907528641571194762,4888,1896,81594932.00,1261,25.80,304.75,13.45
10-June-2020,16612.00,16820.00,16411.50,16563.05,16623.490277777777777777,5760,2273,95751304.00,1545,26.82,408.50,-48.95
9-June-2020,16700.00,16992.60,16530.00,16559.15,16732.261317907444668008,3976,1968,66527471.00,2035,51.18,462.60,-140.85
8-June-2020,17160.00,17202.30,16800.00,16828.20,16935.617668012348610781,4211,2211,71315886.00,2418,57.42,402.30,-331.80
5-June-2020,17344.35,17461.30,16970.05,17097.80,17139.830903790087463556,6860,2613,117579240.00,3750,54.66,491.25,-246.55
4-June-2020,17440.00,17543.85,17156.00,17195.55,17238.577315463092618523,4999,1666,86175648.00,2813,56.27,387.85,-244.45
3-June-2020,17230.00,17510.00,17163.85,17425.40,17401.701549254603916983,3421,1505,59531221.00,1236,36.13,346.15,195.40
2-June-2020,17432.00,17432.00,16980.00,17020.90,17105.346093923881593590,4493,2158,76854320.00,2846,63.34,452.00,-411.10
1-June-2020,17595.00,17749.95,17100.00,17184.40,17452.752471409187827098,5159,2158,90038750.00,1498,29.04,649.95,-410.60
29-May-2020,16989.00,17599.90,16846.50,17533.85,17298.915629025332760841,4658,2124,80578349.00,1631,35.02,753.40,544.85
28-May-2020,16716.00,17020.00,16688.25,16983.35,16766.763206594885598923,11888,3200,199323281.00,9151,76.98,331.75,267.35
27-May-2020,16730.85,16810.00,16497.15,16735.40,16737.193006204173716864,8865,2276,148375216.00,5480,61.82,312.85,4.55
26-May-2020,16220.00,16740.00,16220.00,16681.80,16586.979793001478560867,4058,1609,67309964.00,1515,37.33,520.00,461.80
22-May-2020,16280.00,16380.00,16150.00,16219.45,16234.026210299105766265,3243,1186,52646947.00,1523,46.96,230.00,-60.55
21-May-2020,16392.85,16500.00,16266.45,16288.65,16368.763140385894876912,3006,1163,49204502.00,1049,34.90,233.55,-104.20
20-May-2020,16153.65,16592.00,16153.65,16300.20,16401.731172545281220209,4196,1755,68821664.00,1159,27.62,438.35,146.55
19-May-2020,16251.00,16400.00,16120.90,16153.65,16241.906917783411807316,2761,1322,44843905.00,1176,42.59,279.10,-97.35
18-May-2020,16469.85,16469.85,16182.00,16240.20,16272.509502262443438914,2210,1239,35962246.00,1055,47.74,287.85,-229.65
15-May-2020,16555.00,16569.95,16200.00,16420.65,16359.129793724578733294,13768,2329,225232499.00,2808,20.40,369.95,-134.35
14-May-2020,16600.00,16850.00,16202.10,16248.35,16488.213591501544488811,13273,4403,218848059.00,2738,20.63,647.90,-351.65
13-May-2020,17900.00,17900.00,16406.00,16518.70,16852.570074687754973953,15933,7225,268511999.00,6808,42.73,1494.00,-1381.30
12-May-2020,17680.00,17880.20,17387.10,17457.25,17551.872742200328407224,3654,1653,64134543.00,1200,32.84,493.10,-222.75
11-May-2020,17770.00,17915.50,17500.00,17567.35,17733.372306281522237505,4362,1526,77352970.00,900,20.63,415.50,-202.65
8-May-2020,17320.00,17820.00,17268.00,17798.10,17601.609713135379969803,3974,1549,69948797.00,1055,26.55,552.00,478.10
7-May-2020,17310.00,17310.00,16902.00,17132.85,17067.954875632841734536,4543,1808,77539719.00,833,18.34,408.00,-177.15
6-May-2020,17440.85,17600.00,17274.90,17310.40,17423.871935967983991995,1999,862,34830320.00,465,23.26,325.10,-130.45
5-May-2020,17535.00,17610.00,17108.05,17420.15,17354.899476439790575916,3820,1543,66295716.00,1200,31.41,501.95,-114.85
4-May-2020,17699.00,17737.05,17380.00,17452.75,17521.392578125000000000,2560,1156,44854765.00,806,31.48,357.05,-246.25
30-April-2020,17611.00,17999.00,17574.35,17906.10,17702.074216602528862012,3638,1210,64400146.00,1794,49.31,424.65,295.10
29-April-2020,17699.00,17727.40,17417.00,17495.70,17598.672485071198897565,2177,1030,38312310.00,713,32.75,310.40,-203.30
28-April-2020,17969.90,18000.00,17510.00,17567.10,17636.338767525268992500,3067,1347,54090651.00,1247,40.66,490.00,-402.80
27-April-2020,17401.00,18000.00,17401.00,17953.60,17769.301879084967320261,2448,1075,43499251.00,774,31.62,599.00,552.60
24-April-2020,17355.20,17800.00,17327.80,17377.60,17570.554192229038854805,2934,1330,51552006.00,832,28.36,472.20,22.40
23-April-2020,17697.95,17790.00,17320.50,17411.95,17539.330960854092526690,2810,1232,49285520.00,878,31.25,469.50,-286.00
22-April-2020,17200.00,17682.30,16855.10,17638.85,17406.436049510056730273,3878,1757,67502159.00,730,18.82,827.20,438.85
21-April-2020,16889.95,17232.70,16714.90,16996.65,17055.427150886294855166,2313,1000,39449203.00,674,29.14,517.80,106.70
20-April-2020,17499.00,17499.00,16914.50,16971.15,17074.370056497175141242,3186,1409,54398943.00,1125,35.31,584.50,-527.85
17-April-2020,18301.00,18301.00,17231.25,17322.15,17626.615025561235830184,4499,2024,79302141.00,2112,46.94,1069.75,-978.85
16-April-2020,17320.30,17999.00,17129.50,17884.85,17636.222435487310727233,4689,2297,82696247.00,1005,21.43,869.50,564.55
15-April-2020,16659.00,17383.90,16659.00,17323.20,17185.586923772220548357,3319,1330,57038963.00,1474,44.41,724.90,664.20
13-April-2020,17000.00,17000.00,16420.05,16614.25,16595.449442379182156133,2690,1145,44641759.00,979,36.39,579.95,-385.75
9-April-2020,17326.00,17519.00,16595.70,16843.80,16990.494601542416452442,5835,2359,99139536.00,2010,34.45,923.30,-482.20
8-April-2020,16998.00,17520.55,16575.95,16848.20,17172.921428571428571428,4200,2139,72126270.00,1006,23.95,944.60,-149.80
7-April-2020,15500.00,17177.75,15480.35,17023.30,16566.399636900034040621,8813,3841,145999680.00,3768,42.76,1697.40,1523.30
3-April-2020,15706.00,15861.90,14989.10,15150.80,15254.938213762811127379,6830,2928,104191228.00,1662,24.33,872.80,-555.20
1-April-2020,16380.00,16458.75,15504.85,15668.70,15904.948607296979207532,2549,1401,40541714.00,907,35.58,953.90,-711.30
31-March-2020,15850.00,16420.60,15726.45,16302.40,16187.783505154639175257,3007,1504,48676665.00,784,26.07,694.15,452.40
30-March-2020,15110.00,15861.30,14755.65,15683.85,15388.397978825794032723,4156,2393,63954182.00,1421,34.19,1105.65,573.85
27-March-2020,15500.00,15509.75,14823.85,15090.95,15221.790001824484583105,5481,2469,83430631.00,2970,54.19,685.90,-409.05
26-March-2020,14890.00,15642.55,14059.50,15035.70,14806.446852964220423086,3829,1626,56693885.00,1350,35.26,1583.05,145.70
25-March-2020,13000.00,14500.00,13000.00,14431.70,14160.051765267175572519,4192,1929,59358937.00,797,19.01,1500.00,1431.70
24-March-2020,13210.00,14075.00,12850.00,13555.40,13506.290041230574056454,6306,2706,85170665.00,2561,40.61,1225.00,345.40
23-March-2020,13299.95,13750.00,12780.00,12934.90,13136.180985507246376811,8625,3007,113299561.00,4673,54.18,970.00,-365.05
20-March-2020,13430.00,14425.95,13206.20,14148.85,13974.720412105602060528,7765,3533,108513704.00,2705,34.84,1219.75,718.85
19-March-2020,13400.00,13464.00,12588.95,13108.65,13007.023720930232558139,8600,3950,111860404.00,3323,38.64,875.05,-291.35
18-March-2020,14540.00,14606.40,13390.65,13513.40,13950.969598524044439096,24933,3215,347839525.00,9865,39.57,1215.75,-1026.60
17-March-2020,14694.00,14849.00,14271.25,14541.50,14573.655832370895891767,6061,2354,88330928.00,2265,37.37,577.75,-152.50
16-March-2020,15000.00,15450.00,13500.00,14353.10,14251.774125132555673382,8487,3012,120954807.00,4060,47.84,1950.00,-646.90
13-March-2020,15600.00,15682.70,14100.00,14975.80,14844.135218827415359207,9688,3587,143809982.00,3614,37.30,1582.70,-624.20
12-March-2020,15822.25,15873.80,15044.35,15619.40,15392.194837526205450733,7632,2907,117473231.00,2183,28.60,829.45,-202.85
11-March-2020,16050.00,16220.30,15785.10,16056.15,16028.316420664206642066,2168,1052,34749390.00,1080,49.82,435.20,6.15
9-March-2020,16301.00,16352.70,15717.00,16054.40,16002.575630252100840336,4522,1712,72363647.00,2160,47.77,635.70,-246.60
6-March-2020,16470.00,16548.95,16244.00,16426.90,16420.971928397070789259,2458,1048,40362749.00,1333,54.23,304.95,-43.10
5-March-2020,16567.00,16834.00,16484.50,16568.20,16638.637722132471728594,2476,898,41197267.00,1069,43.17,349.50,1.20
4-March-2020,16360.00,16626.90,16026.85,16538.05,16348.413051272857655073,2789,895,45595724.00,1066,38.22,600.05,178.05
3-March-2020,16190.00,16494.80,16158.70,16354.25,16349.710098373820517968,4981,1261,81437906.00,3278,65.81,336.10,164.25
2-March-2020,15900.00,16316.15,15871.20,16119.75,16183.683251714005876591,5105,1462,82617703.00,2710,53.09,444.95,219.75
28-February-2020,16100.00,16119.00,15680.00,15770.55,15831.146091555114857048,6051,2044,95794265.00,2794,46.17,439.00,-329.45
27-February-2020,16332.00,16340.00,16050.00,16261.55,16172.945775995625626537,10973,2647,177465734.00,8000,72.91,290.00,-70.45
26-February-2020,16435.10,16495.55,16155.00,16260.05,16294.357571214392803598,2668,992,43473346.00,1020,38.23,340.55,-175.05
25-February-2020,16341.20,16532.40,16312.00,16366.40,16398.165750196386488609,1273,547,20874865.00,378,29.69,220.40,25.20
24-February-2020,16500.00,16549.00,16305.45,16340.10,16436.469599427753934191,2796,922,45956369.00,1721,61.55,243.55,-159.90
20-February-2020,16774.85,16774.85,16515.30,16544.10,16591.927230046948356807,2556,930,42408966.00,1478,57.82,259.55,-230.75
19-February-2020,16506.00,16839.55,16489.20,16775.95,16740.022650439486139283,2958,1029,49516987.00,1105,37.36,350.35,269.95
18-February-2020,16555.00,16565.00,16375.00,16400.80,16434.515600000000000000,2500,814,41086289.00,1065,42.60,190.00,-154.20
17-February-2020,16400.00,16631.70,16370.25,16574.80,16522.786037167252636865,9955,2423,164484335.00,6967,69.98,261.45,174.80
14-February-2020,16520.00,16753.45,16246.50,16350.75,16464.440053583389149363,5972,1850,98325636.00,1436,24.05,506.95,-169.25
13-February-2020,16350.00,16455.00,16290.00,16417.80,16406.153125562961628535,5551,1892,91070556.00,2797,50.39,165.00,67.80
12-February-2020,16097.00,16472.15,15975.00,16289.75,16306.481096681096681096,3465,1403,56501957.00,855,24.68,497.15,192.75
11-February-2020,16298.00,16318.45,15960.00,15995.00,16066.807606263982102908,1341,689,21545589.00,597,44.52,358.45,-303.00
10-February-2020,16309.00,16342.95,16119.30,16168.20,16217.138105567606652205,1383,722,22428302.00,656,47.43,223.65,-140.80
7-February-2020,16288.00,16382.60,16201.90,16305.95,16329.485304143625482917,132010,1307,2155655355.00,1677,1.27,180.70,17.95
6-February-2020,16385.10,16547.60,16166.00,16285.50,16384.963906581740976645,2355,907,38586590.00,524,22.25,381.60,-99.60
5-February-2020,16499.00,16499.00,16257.20,16373.95,16336.408239700374531835,2937,1129,47980031.00,1268,43.17,241.80,-125.05
4-February-2020,16370.00,16500.00,16136.25,16453.00,16382.253026161655603279,2561,1131,41954950.00,629,24.56,363.75,83.00
3-February-2020,15452.00,16502.15,15452.00,16301.65,16370.550400818693501620,17589,2803,287941611.00,13436,76.39,1050.15,849.65
1-February-2020,15355.00,15635.80,15180.00,15425.80,15401.197062423500611995,1634,691,25165556.00,319,19.52,455.80,70.80
31-January-2020,15598.90,15599.75,15315.00,15360.85,15445.561264822134387351,1518,693,23446362.00,513,33.79,284.75,-238.05
30-January-2020,15869.95,15869.95,15483.00,15502.50,15660.909526662672258837,1669,889,26138058.00,694,41.58,386.95,-367.45
29-January-2020,15547.00,15900.00,15444.00,15869.80,15717.522544780728844966,1619,852,25446669.00,635,39.22,456.00,322.80
28-January-2020,15683.85,15695.80,15380.80,15413.55,15472.320459290187891440,1916,861,29644966.00,786,41.02,315.00,-270.30
27-January-2020,15717.45,15854.90,15569.30,15670.80,15762.457614942528735632,1392,743,21941341.00,642,46.12,285.60,-46.65
24-January-2020,15533.00,15855.00,15519.00,15750.40,15726.254982817869415807,1455,792,22881701.00,673,46.25,336.00,217.40
23-January-2020,15477.00,15620.55,15465.00,15554.65,15567.901403508771929824,5700,1837,88737038.00,4764,83.58,155.55,77.65
22-January-2020,15354.00,15585.05,15315.00,15544.40,15474.161963190184049079,1630,762,25222884.00,607,37.24,270.05,190.40
21-January-2020,15420.00,15500.10,15253.05,15280.20,15315.426493108728943338,1306,584,20001947.00,518,39.66,247.05,-139.80
20-January-2020,15436.00,15474.70,15311.00,15419.80,15407.227146814404432132,1805,847,27810045.00,739,40.94,163.70,-16.20
17-January-2020,15399.00,15599.00,15365.00,15441.35,15464.358872743284896521,2271,860,35119559.00,937,41.26,234.00,42.35
16-January-2020,14869.00,15399.00,14860.00,15347.25,15224.345688073394495412,5450,1888,82972684.00,2318,42.53,539.00,478.25
15-January-2020,14868.00,14950.00,14738.40,14867.60,14844.022883295194508009,874,486,12973676.00,275,31.46,211.60,-0.40
14-January-2020,14662.00,14900.00,14615.00,14869.05,14802.709654178674351585,1388,491,20546161.00,522,37.61,285.00,207.05
13-January-2020,14728.30,14735.45,14604.30,14661.90,14673.302543507362784471,747,288,10960957.00,298,39.89,131.15,-66.40
10-January-2020,14690.00,14713.30,14588.00,14685.20,14641.262037037037037037,1080,532,15812563.00,411,38.06,125.30,-4.80
9-January-2020,14536.00,14680.00,14456.80,14644.70,14589.514453477868112014,2214,738,32301185.00,1084,48.96,223.20,108.70
8-January-2020,14249.95,14415.95,14120.20,14388.25,14282.158912386706948640,1655,683,23636973.00,894,54.02,295.75,138.30
7-January-2020,14497.00,14527.60,14255.00,14289.80,14357.409240924092409240,1818,825,26101770.00,1116,61.39,272.60,-207.20
6-January-2020,14575.00,14575.00,14274.85,14409.45,14378.401167883211678832,3425,1330,49246024.00,2164,63.18,300.15,-165.55
3-January-2020,14756.00,14756.00,14526.05,14596.95,14590.690205604233538648,23054,510,336373772.00,22220,96.38,229.95,-159.05
2-January-2020,14869.25,14869.25,14700.00,14724.75,14742.547533952823445318,1399,662,20624824.00,654,46.75,169.25,-144.50
1-January-2020,14819.95,14838.00,14720.00,14777.90,14778.287925696594427244,646,343,9546774.00,220,34.06,118.00,-42.05
31-December-2019,14890.00,14917.00,14701.10,14789.95,14788.123031496062992125,1016,513,15024733.00,316,31.10,215.90,-100.05
30-December-2019,14652.20,14902.50,14620.00,14867.20,14794.856159669649002064,1453,624,21496926.00,822,56.57,282.50,215.00
27-December-2019,14599.45,14680.00,14583.40,14651.75,14644.714018691588785046,535,308,7834922.00,279,52.15,96.60,52.30
26-December-2019,14582.00,14700.00,14550.00,14599.45,14623.874614594039054470,973,442,14229030.00,336,34.53,150.00,17.45
24-December-2019,14550.00,14609.65,14490.00,14586.90,14566.687779910428662827,1563,621,22767733.00,526,33.65,119.65,36.90
23-December-2019,14899.00,14994.00,14490.15,14527.10,14687.641542816702052370,2826,1004,41507275.00,960,33.97,503.85,-371.90
20-December-2019,14244.00,14979.85,14244.00,14833.20,14696.734499809813617344,5258,1792,77275430.00,1632,31.04,735.85,589.20
19-December-2019,14214.00,14299.85,14100.00,14281.40,14182.949064449064449064,962,383,13643997.00,348,36.17,199.85,67.40
18-December-2019,14159.30,14279.00,14054.35,14215.90,14144.444650587507730364,1617,627,22871567.00,550,34.01,224.65,56.60
17-December-2019,14150.60,14232.60,14088.00,14144.50,14165.006750241080038572,1037,349,14689112.00,320,30.86,144.60,-6.10
16-December-2019,14305.00,14422.00,14133.60,14153.10,14224.185787671232876712,1168,443,16613849.00,414,35.45,288.40,-151.90
13-December-2019,14244.00,14372.85,14015.00,14313.80,14214.631141868512110726,1445,530,20540142.00,586,40.55,357.85,69.80
12-December-2019,14114.10,14220.05,14081.95,14169.60,14154.278017241379310344,928,374,13135170.00,257,27.69,138.10,55.50
