Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
16-April-2021,17000.00,17328.00,16870.20,17238.10,17081.109581181870338496,1743,643,29772374.00,650,37.29,457.80,238.10
15-April-2021,17490.00,17490.00,16775.00,16871.90,16990.346976401179941002,2712,1053,46077821.00,946,34.88,715.00,-618.10
13-April-2021,17450.05,17597.20,17040.20,17162.15,17231.823019086176980913,1729,704,29793822.00,562,32.50,557.00,-287.90
12-April-2021,17401.30,17620.70,17341.60,17495.70,17497.062023562023562023,2886,797,50496521.00,1180,40.89,279.10,94.40
9-April-2021,17554.70,17848.00,17518.30,17580.60,17649.754050073637702503,2037,777,35952549.00,398,19.54,329.70,25.90
8-April-2021,17421.00,17750.00,17322.45,17667.90,17465.846453003467341392,21342,2272,372756095.00,18545,86.89,427.55,246.90
7-April-2021,17080.00,17863.85,17050.00,17420.65,17455.525352952873334658,5029,1650,87783837.00,1514,30.11,813.85,340.65
6-April-2021,16935.50,17111.00,16820.00,17078.30,17011.229015544041450777,2895,1176,49247508.00,1365,47.15,291.00,142.80
5-April-2021,17125.00,17149.60,16721.80,16909.20,16917.052643495980980414,8833,2384,149428326.00,6323,71.58,427.80,-215.80
1-April-2021,17105.00,17143.05,16968.90,17102.15,17072.497749015194147439,3554,1144,60675657.00,1041,29.29,174.15,-2.85
31-March-2021,17135.00,17261.45,16952.80,17170.25,17166.195961995249406175,5052,1412,86723622.00,3001,59.40,308.65,35.25
30-March-2021,16570.00,17218.00,16570.00,17114.05,16984.081882533001721828,5227,1789,88775796.00,2034,38.91,648.00,544.05
26-March-2021,16398.00,16600.05,16250.50,16568.30,16454.940673828125000000,4096,1393,67399437.00,2282,55.71,349.55,170.30
25-March-2021,16493.00,16583.00,16116.00,16173.85,16329.646695197337137422,4206,1515,68682494.00,1394,33.14,467.00,-319.15
24-March-2021,16600.00,16762.45,16409.00,16452.60,16593.074392339798674195,4073,1225,67583592.00,2104,51.66,353.45,-147.40
23-March-2021,16599.00,16747.70,16498.90,16693.60,16693.279033232628398791,8275,2124,138136884.00,5436,65.69,248.80,94.60
22-March-2021,16415.00,16672.65,16350.05,16594.25,16505.434017595307917888,2728,888,45026824.00,1481,54.29,322.60,179.25
19-March-2021,16202.00,16590.10,16075.15,16444.35,16409.486359360301034807,6378,2122,104659704.00,3191,50.03,514.95,242.35
18-March-2021,16458.00,16625.00,16172.75,16202.70,16346.306188268494255190,4961,2102,81094025.00,2356,47.49,452.25,-255.30
17-March-2021,16749.00,16749.35,16350.00,16458.10,16447.173572996706915477,7288,2195,119867001.00,4008,54.99,399.35,-290.90
16-March-2021,16850.05,17031.00,16690.00,16749.25,16811.859125188536953242,3315,1339,55731313.00,1621,48.90,341.00,-100.80
15-March-2021,16767.00,16860.00,16596.00,16831.25,16761.093377018488181605,4273,1582,71620152.00,2134,49.94,264.00,64.25
12-March-2021,16850.00,16990.00,16649.40,16766.20,16850.919096401365904912,7614,1760,128302898.00,5268,69.19,340.60,-83.80
10-March-2021,16913.35,16999.35,16785.45,16936.70,16919.902159867085102455,5417,1608,91655110.00,3846,71.00,213.90,23.35
9-March-2021,16900.00,16930.00,16660.00,16899.35,16789.146674246731097214,1759,668,29532109.00,589,33.48,270.00,-0.65
8-March-2021,16780.00,16888.00,16631.00,16851.35,16837.018861334264757247,5726,1131,96408770.00,3832,66.92,257.00,71.35
5-March-2021,16405.15,16836.70,16405.15,16774.45,16703.773403595784252944,3226,1148,53886373.00,1666,51.64,431.55,369.30
4-March-2021,16790.00,16790.00,16450.00,16649.40,16640.676264396594892338,11982,945,199388583.00,9974,83.24,340.00,-140.60
3-March-2021,16780.00,16780.00,16553.30,16694.85,16634.461651196873473375,2047,731,34050743.00,502,24.52,226.70,-85.15
2-March-2021,16399.00,16631.55,16290.30,16571.95,16486.017927761666227260,3793,1347,62531466.00,1884,49.67,341.25,172.95
1-March-2021,16274.95,16360.00,16090.70,16288.20,16208.359259259259259259,4590,1337,74396369.00,2100,45.75,269.30,13.25
26-February-2021,16075.00,16287.20,16010.00,16097.70,16117.889973057598485400,13733,4290,221346983.00,6701,48.79,277.20,22.70
25-February-2021,16394.70,16394.70,16102.00,16114.35,16274.070349613023752335,18735,3054,304894708.00,13665,72.94,292.70,-280.35
24-February-2021,16249.00,16800.00,15900.00,16351.75,16198.020041081441181369,18013,3824,291774935.00,12699,70.50,900.00,102.75
23-February-2021,16123.00,16250.00,16003.00,16165.25,16144.505031145184475323,6261,1860,101080746.00,1873,29.92,247.00,42.25
