,State,District,Latitude,Longitude,State name,Population,Male,Female,Literate,Hindus,Muslims,Christians,Sikhs,Buddhists,Households_with_Internet
210,Kerala,Alappuzha,9.542602965599087,76.38010796263319,KERALA,2127789,1013142,1114647,1852797,1460447,224545,435056,268,146,28842
211,Kerala,Ernakulam,10.004879301987431,76.26957729035381,KERALA,3282388,1619557,1662831,2855676,1509557,514397,1248137,860,614,88737
212,Kerala,Idukki,9.80480963855423,77.04586641566264,KERALA,1108974,552808,556166,923010,541854,82206,481507,100,189,8250
213,Kerala,Kannur,11.941523076923056,75.35209891725934,KERALA,2523003,1181446,1341557,2138434,1509592,742483,262526,424,1118,32653
214,Kerala,Kasaragod,12.33310309912974,75.07768497134369,KERALA,1307375,628613,678762,1037492,729987,486913,87454,151,362,10378
215,Kerala,Kollam,8.929388820570157,76.6360775852431,KERALA,2635375,1246968,1388407,2240273,1697635,508500,421598,208,272,31542
216,Kerala,Kottayam,9.643701174068417,76.46059673302705,KERALA,1974551,968289,1006262,1749798,983598,126499,858608,204,358,37849
217,Kerala,Kozhikode,11.392924270557026,75.71158720159153,KERALA,3086293,1470942,1615351,2615443,1734958,1211131,131516,297,235,36791
218,Kerala,Malappuram,10.97329875666072,75.93910775606876,KERALA,4112920,1960328,2152592,3311315,1135259,2888849,81556,205,179,27909
219,Kerala,Palakkad,10.784926903553291,76.49980490693744,KERALA,2809934,1359478,1450456,2239492,1875980,812936,114397,220,238,27162
220,Kerala,Thiruvananthapuram,8.537101759082221,76.88711502868073,KERALA,3301427,1581678,1719749,2785408,2194057,452915,630573,404,301,71621
221,Kerala,Thrissur,10.458932647907687,76.12321940836945,KERALA,3121200,1480763,1640437,2678548,1823442,532839,757484,259,278,56148
222,Kerala,Wayanad,11.715277464788736,76.07587007042254,KERALA,817420,401684,415736,645585,404460,234185,174453,61,312,4712
223,Madhya Pradesh,Anuppur,23.18184220430107,81.86560000000007,MADHYA PRADESH,749237,379114,370123,436595,686524,21473,2132,606,86,1290
224,Madhya Pradesh,Ashoknagar,24.63098846153845,77.82974493927134,MADHYA PRADESH,845071,443837,401234,469109,778214,40707,635,8009,1352,619
225,Madhya Pradesh,Balaghat,21.80020720640569,80.42170053380796,MADHYA PRADESH,1701698,842178,859520,1147623,1519384,38542,5295,1050,72162,1712
226,Madhya Pradesh,Barwani,21.702135714285724,74.91004719710673,MADHYA PRADESH,1385881,699340,686541,549926,1318869,58222,2967,2361,416,1158
227,Madhya Pradesh,Betul,21.964626315789477,77.7873428189117,MADHYA PRADESH,1575362,799236,776126,939769,1505745,37590,3271,1078,9651,2109
228,Madhya Pradesh,Bhind,26.35951126187245,78.7618324287653,MADHYA PRADESH,1703005,926843,776162,1094917,1595400,66776,973,4047,12215,1166
229,Madhya Pradesh,Bhopal,23.480726143790854,77.39246623093679,MADHYA PRADESH,2371061,1236130,1134931,1660690,1755861,525434,23432,10789,21688,40788
230,Madhya Pradesh,Burhanpur,21.364567254408065,76.24460478589425,MADHYA PRADESH,757847,388504,369343,408679,552526,180840,1199,1074,19883,986
231,Madhya Pradesh,Chhatarpur,24.813637376460004,79.56449299191374,MADHYA PRADESH,1762375,936121,826254,943033,1676918,70351,1980,968,250,1880
232,Madhya Pradesh,Chhindwara,22.227966971713823,78.76413136439254,MADHYA PRADESH,2090922,1064468,1026454,1294198,1923920,100692,4893,2258,24471,3588
233,Madhya Pradesh,Damoh,23.76624407960196,79.47049303482588,MADHYA PRADESH,1264219,661873,602346,747715,1186420,47966,1681,1096,119,1432
234,Madhya Pradesh,Datia,25.90226439560441,78.63916571428574,MADHYA PRADESH,786754,420157,366597,491445,747693,28483,683,490,7923,616
